Communication_number,Social_unit,Part_exchange,Gesture_start_time,Duration_analysis_include,Mau_end_time,Outcome_time,Outcome,Sgn_ID,Rcp_ID,Signaller_age,Recipient_age,Goal_anon
300390,Waibira,1_1,2.164,Include,3.644,4.043,GoalRecipient,A_F,ID_5,NA,19,Goal_1
300624,Waibira,1_1,1.376,ExcludeEnd,2.456,2.736,TimeExcludeRecipient,A_F,ID_8,NA,13,Goal_1
300688,Waibira,2_2,2.539,Include,3.659,6.761,GoalRecipient,A_F,ID_17,NA,9,Goal_2
300438,Waibira,Unclear,2.944,Include,3.424,3.664,Exclude,A_F,ID_21,NA,25,Goal_3
300790b,Waibira,2_2,26.916,Include,28.362,34.597,GoalAmbiguous,A_F,ID_21,NA,30,Goal_2
300438,Waibira,Unclear,3.664,Include,4.384,3.664,Exclude,A_F,ID_21,NA,25,Goal_3
300806,Waibira,1_1,87.646,Include,88.763,91.17,GoalRecipient,A_F,I,NA,NA,Goal_4
300805,Waibira,1_1,26.317,Include,27.025,28.372,GoalRecipient,A_F,I,NA,NA,Goal_5
300816,Waibira,Unclear,2.829,Include,4.349,2.829,TimeExcludeRecipient,A_F,I,NA,NA,Goal_6
300423b,Waibira,2_2,12.098,Include,13.276,13.982,GoalRecipient,A_F,ID_81,NA,36,Goal_7
300407,Waibira,Unclear,4.893,Include,5.813,7.813,GoalRecipient,A_F,ID_206,NA,18,Goal_7
300495,Waibira,1_2,1.309,Include,2.949,1.309,TimeExcludeAmbiguous,A_F,ID_206,NA,18,Goal_8
300407,Waibira,Unclear,6.053,Include,7.613,7.813,GoalRecipient,A_F,ID_206,NA,18,Goal_7
300493,Waibira,1_2,0,ExcludeStart,1.438,3.516,GoalAmbiguous,A_F,ID_206,NA,18,Goal_8
300408,Waibira,1_1,0.538,Include,3.175,5.216,GoalRecipient,A_F,ID_206,NA,18,Goal_7
300493,Waibira,1_2,0,ExcludeStart,0.717,3.516,GoalAmbiguous,A_F,ID_206,NA,18,Goal_8
300318,Waibira,1_1,3.119,Include,4.598,5.038,GoalRecipient,A_F,Unk_M,NA,NA,Goal_1
300347,Waibira,1_1,105.423,Include,106.3,108.005,Exclude,A_F,ID_233,NA,35,Goal_9
300347,Waibira,1_1,100.78,Exclude,101.81,108.005,Exclude,A_F,ID_233,NA,35,Goal_9
310043,Kalinzu,Unclear,21.922,Include,22.198,21.922,Exclude,A_M,A_M,NA,NA,Goal_5
